Printing dynamic symbols for /bin/ls

SHdr:{name=.dynsym, sh_name=0x51, sh_type=SHT_DYNSYM, sh_flags=0x2, sh_addr=0x488, sh_offset=0x488, sh_size=0xd08, sh_link=0x7, sh_info=0x1, sh_addralign=0x8, sh_entsize=0x18}

Symbols:
 [100] Sym:{name=undefined, st_name=0x16e, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [101] Sym:{name=fwrite, st_name=0x38c, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [102] Sym:{name=__fprintf_chk, st_name=0x239, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [103] Sym:{name=_ITM_registerTMCloneTable, st_name=0x3c, st_info=0x20, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_NOTYPE, st_bind=STB_WEAK}
 [104] Sym:{name=fflush_unlocked, st_name=0xdd, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [105] Sym:{name=mbsinit, st_name=0x29a, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [106] Sym:{name=iswprint, st_name=0x156, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [107] Sym:{name=sigaddset, st_name=0x247, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [108] Sym:{name=__ctype_tolower_loc, st_name=0x42e, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [109] Sym:{name=__ctype_b_loc, st_name=0x2bc, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [110] Sym:{name=__sprintf_chk, st_name=0x46e, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [111] Sym:{name=__progname, st_name=0x54a, st_info=0x11, st_other=STV_DEFAULT, st_shndx=0x1b, st_value=0x23280, st_size=0x8, st_type=STT_OBJECT, st_bind=STB_GLOBAL}
 [112] Sym:{name=ls_mode, st_name=0x59d, st_info=0x11, st_other=STV_DEFAULT, st_shndx=0x1a, st_value=0x231e0, st_size=0x4, st_type=STT_OBJECT, st_bind=STB_GLOBAL}
 [113] Sym:{name=optind, st_name=0xce, st_info=0x11, st_other=STV_DEFAULT, st_shndx=0x1b, st_value=0x23290, st_size=0x4, st_type=STT_OBJECT, st_bind=STB_GLOBAL}
 [114] Sym:{name=undefined, st_name=0x536, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [115] Sym:{name=program_invocation_name, st_name=0x17a, st_info=0x21, st_other=STV_DEFAULT, st_shndx=0x1b, st_value=0x232a0, st_size=0x8, st_type=STT_OBJECT, st_bind=STB_WEAK}
 [116] Sym:{name=version_etc_copyright, st_name=0x5f4, st_info=0x11, st_other=STV_DEFAULT, st_shndx=0x12, st_value=0x1cca0, st_size=0x2f, st_type=STT_OBJECT, st_bind=STB_GLOBAL}
 [117] Sym:{name=Version, st_name=0x588, st_info=0x11, st_other=STV_DEFAULT, st_shndx=0x1a, st_value=0x231e8, st_size=0x8, st_type=STT_OBJECT, st_bind=STB_GLOBAL}
 [118] Sym:{name=_IO_stdin_used, st_name=0x5a5, st_info=0x11, st_other=STV_DEFAULT, st_shndx=0x12, st_value=0x18000, st_size=0x4, st_type=STT_OBJECT, st_bind=STB_GLOBAL}
